X1,version,uid,type,f2525b,typeDescription,how,parsedhow,time,start,stale,access,opex,opexDescription,qos,qosDescription,flowTagsVersion,remarksSource,remarksTime,remarksTo,remarksKeywords,remarksVersion,requestNotify,requestWilcoby,requestPriority,requestVersion,requestTo,requestAuthority,requestStreamTo,sensorAzimuth,sensorElevation,sensorRoll,sensorFOV,sensorVFOV,sensorNorth,sensorVersion,sensorType,sensorModel,sensorRange,spatialAttitudeRoll,spatialAttitudePitch,spatialAttitudeYaw,spatialAttitudeERoll,spatialAttitudeEPitch,spatialAttitudeEYaw,spatialSpinRoll,spatialSpinPitch,spatialSpinYaw,spatialSpinERoll,spatialSpinEPitch,spatialSpinEYaw,spatialVersion,trackCourse,trackSpeed,trackSlope,trackECourse,trackESpeed,trackESlope,trackVersion,uidVersion,objectid,globalid,x,y
620191,2,1151567198958967,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619713248000,1619713238000,1619713358000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.24231111709787,234.07202,NA,NA,NA,NA,NA,NA,620192,{471936B6-75D5-40EC-BC2E-5C7C89EC550B},-77.42322,37.69167
17340,2,3748933795616646,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619614575000,1619614550000,1619614670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.73939133736212,0.4,NA,NA,NA,NA,NA,NA,18428,{1739840D-965A-4925-AFB6-635422FB8F44},-76.12016,37.09066
476175,2,1524267171334365,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619708533000,1619708554000,1619708674000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.00274456657144,51.95884399999999,NA,NA,NA,NA,NA,NA,476176,{99A6AA9E-DAC9-4850-8E77-1346721CB6D8},-76.01667,36.95389
55527,2,2788621101328073,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619615463000,1619615468000,1619615588000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.76079882407748,219.66758799999997,NA,NA,NA,NA,NA,NA,55528,{348371C1-8E14-48E8-A559-4C68A53BDE25},-77.02538,36.32597
401124,2,613278160655532,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619706093000,1619705930000,1619706050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.0196022823889,118.32212000000001,NA,NA,NA,NA,NA,NA,401125,{D50AD5E3-7671-4FD6-8D2F-80A23E3197AC},-76.15929,36.96638
931089,2,1288245811741011,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619724164000,1619724129000,1619724249000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.85395829184125,6.300000000000001,NA,NA,NA,NA,NA,NA,931090,{49A37FB0-B43B-4FAB-8BAA-6045FC7FEC49},-76.08987,36.90675
341699,2,2027160941443092,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619704098000,1619704120000,1619704240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.96593249645935,56.07439599999999,NA,NA,NA,NA,NA,NA,341700,{AA648507-EB1F-4EA6-9042-0D2386C493F4},-77.14851,36.07212
965037,2,880230752342758,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619725349000,1619725354000,1619725474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.73939133736212,123.98100400000001,NA,NA,NA,NA,NA,NA,965038,{ADC93B2E-7FC2-4FD2-90E9-B4CBB1D0719C},-76.29163,36.77031
20544,2,1685304020291407,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619614658000,1619614470000,1619614590000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.64380973109803,242.817568,NA,NA,NA,NA,NA,NA,20545,{E9C515B7-4014-4069-8B9C-03AB52339072},-75.7346,37.69839
123142,2,4389934981492813,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619617083000,1619617103000,1619617223000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,5.1000000000000005,NA,NA,NA,NA,NA,NA,123143,{F5DD0965-4EA0-48E4-99A0-947CAB3CABE9},-76.33528,36.94473
